id,lat,lng,horario,tipo,direccion
109,-34.64756,-58.49813, 08:00 a 21:00 hs,Centro de Carga,AVDA JUAN BAUTISTA ALBERDI 5277
110,-34.65462,-58.50593, 08:00 a 21:00 hs,Centro de Carga,AVDA JUAN BAUTISTA ALBERDI 6227
111,-34.65421,-58.5041, 08:00 a 21:00 hs,Centro de Carga,MURGUIONDO 1677
112,-34.66144,-58.51654, 08:00 a 21:00 hs,Centro de Carga,AVDA JUAN BAUTISTA ALBERDI 7391
113,-34.65219,-58.5159, 08:00 a 21:00 hs,Centro de Carga,AVENIDA EMILIO CASTRO 6877
114,-34.65867,-58.51172, 08:00 a 21:00 hs,Centro de Carga,AVDA JUAN BAUTISTA ALBERDI 6935
115,-34.61297,-58.38195, 08:00 a 21:00 hs,Centro de Carga,AV BELGRANO 1111
116,-34.60972,-58.38821, 08:00 a 21:00 hs,Centro de Carga,HIPÓLITO YRIGOYEN 1546
117,-34.6123,-58.37255, 08:00 a 21:00 hs,Centro de Carga,AV BELGRANO 441
118,-34.61003,-58.38726, 08:00 a 21:00 hs,Centro de Carga,HIPÓLITO YRIGOYEN 1480
119,-34.61382,-58.37608, 08:00 a 21:00 hs,Centro de Carga,CHACABUCO 494
120,-34.61347,-58.38643, 08:00 a 21:00 hs,Centro de Carga,AV  BELGRANO 1426
121,-34.60505,-58.38785, 08:00 a 21:00 hs,Centro de Carga,PARANÁ 319
122,-34.60531,-58.38214, 08:00 a 21:00 hs,Centro de Carga,CERRITO 274
123,-34.60844,-58.39199, 08:00 a 21:00 hs,Centro de Carga,AV CALLAO 63
124,-34.60753,-58.38563, 08:00 a 21:00 hs,Centro de Carga,BARTOLOMÉ MITRE 1347
125,-34.60239,-58.37749, 08:00 a 21:00 hs,Centro de Carga,LAVALLE 752
126,-34.6036,-58.37668, 08:00 a 21:00 hs,Centro de Carga,MAIPU 386
127,-34.60624,-58.37703, 08:00 a 21:00 hs,Centro de Carga,AVDA ROQUE SAENZ PEÑA 748
128,-34.60859,-58.37615, 08:00 a 21:00 hs,Centro de Carga,AVENIDA DE MAYO 689
129,-34.60834,-58.37444, 08:00 a 21:00 hs,Centro de Carga,AVENIDA DE MAYO 560
